lp xpos pb nmt1 nmt4 done
ar-en 1 53.07 54.37 55.97  2
ar-es 2 49.77 50.51 52.16  2
ar-fr 3 42.80 42.89 44.67  2
ar-ru 4 36.00 36.03 38.77  2
ar-zh 5 31.58 38.17 39.73  2
en-ar 6 41.96 43.45 45.07  2 
en-es 7 61.26 60.34 62.12  2 
en-fr 8 50.09 49.78 51.46  2 
en-ru 9 43.25 43.37 45.27  2 
en-zh 10 37.84 44.94 46.82 2
es-ar 11 38.13 38.21 39.69 2
es-en 12 59.89 59.90 61.13 2 
es-fr 13 49.76 48.51 49.75 2 
es-ru 14 39.69 39.70 40.96 2 
es-zh 15 31.27 39.37 41.21 2 
fr-ar 16 34.43 34.10 35.53 2 
fr-en 17 52.22 50.80 52.38 2
fr-es 18 52.44 50.70 51.78 2
fr-ru 19 36.48 36.06 37.26 2
fr-zh 20 29.98 35.86 37.37 2
ru-ar 21 34.43 34.85 35.73 2
ru-en 22 52.59 51.25 52.35 2
ru-es 23 49.61 49.33 50.45 2
ru-fr 24 43.37 42.55 44.14 2
ru-zh 25 32.63 37.83 39.42 2
zh-ar 26 28.02 33.77 35.38 2
zh-en 27 42.97 50.11 51.77 2
zh-es 28 39.64 46.73 48.29 2
zh-fr 29 34.42 40.35 42.00 2
zh-ru 30 29.57 34.62 36.41 2
